,company name,link,position,location,deadline,condition,salary
0,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40426179&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/07(토),경력3년↑ 학력무관,
1,씨앤토트㈜,/zf_user/jobs/relay/view?view_type=search&rec_idx=40446985&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/09(월),경력무관 학력무관,
2,유호스트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40423750&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 06/30(수),경력무관 학력무관,
3,(주)에이플넷,/zf_user/jobs/relay/view?view_type=search&rec_idx=40368521&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,채용시,경력무관 학력무관,
4,오엠티아이코리아(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40482665&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 06/27(일),경력무관 대졸↑,"3,400~3,600"
5,헤리티지서치코어,/zf_user/jobs/relay/view?view_type=search&rec_idx=40511910&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 용산구,~ 07/09(금),경력7년↑ 대졸↑,
6,콘텐츠웨이브(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40475424&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직·계약직,서울 영등포구,~ 06/23(수),신입·경력 대졸↑,
7,엘에스아이티씨(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40492343&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 용산구,~ 06/30(수),신입·경력 학력무관,
8,(주)코오롱,/zf_user/jobs/relay/view?view_type=search&rec_idx=40481198&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강서구,~ 06/30(수),신입·경력 학력무관,
9,(주)리치빔,/zf_user/jobs/relay/view?view_type=search&rec_idx=40381772&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직·계약직,서울 송파구,~ 06/30(수),신입·경력 학력무관,
10,(주)케이아이엔엑스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40397353&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,내일마감,신입·경력 대졸↑,
