,company name,link,position,location,deadline,condition,salary
0,켐아이넷(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40492410&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 양천구,~ 08/15(일),경력무관 대졸↑,
1,주식회사 단비,/zf_user/jobs/relay/view?view_type=search&rec_idx=40346381&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,부산 해운대구,~ 07/27(화),경력무관 학력무관,
2,분당서울대학교병원,/zf_user/jobs/relay/view?view_type=search&rec_idx=40222723&location=ts&searchword=R&searchType=search&paid_fl=n,기간제·계약직,경기 성남시 분당구,~ 07/11(일),경력무관 석사↑,"3,200~3,400"
3,㈜더아이엠씨,/zf_user/jobs/relay/view?view_type=search&rec_idx=40441918&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,대구 수성구,오늘마감,신입·경력 대졸↑,
4,(주)데이터드리븐,/zf_user/jobs/relay/view?view_type=search&rec_idx=40473173&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·전문연구요원,경기 성남시 분당구,채용시,경력무관 석사↑,
5,(주)팀오투,/zf_user/jobs/relay/view?view_type=search&rec_idx=40440423&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,상시채용,경력 3~10년 학력무관,
6,(주)디케이티,/zf_user/jobs/relay/view?view_type=search&rec_idx=40503925&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경북 구미시,~ 07/30(금),경력3년↑ 초대졸↑,
7,젬컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40101110&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,서울 송파구,~ 06/24(목),경력무관 학력무관,
8,롯데건설(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40487210&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,경기 광명시,~ 08/15(일),경력 3~10년 초대졸↑,
9,신호시스템(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40293320&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 부천시 원미구,~ 07/09(금),신입·경력 초대졸↑,
10,애보트래피드진단(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40330309&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,경기 성남시,~ 06/30(수),신입·경력 대졸↑,
11,주식회사 브이원텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=40479978&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 수원시 권선구,~ 07/15(목),신입·경력 초대졸↑,
12,주식회사 브이원텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=40479739&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 수원시 권선구,~ 07/15(목),경력6년↑ 초대졸↑,
13,(주)바이와이제이,/zf_user/jobs/relay/view?view_type=search&rec_idx=40326581&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,채용시,경력 3~6년 학력무관,
14,(주)영창첨단소재,/zf_user/jobs/relay/view?view_type=search&rec_idx=40224217&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경북 성주군,~ 07/11(일),경력1년↑ 초대졸↑,"2,800~3,000"
15,(주)엠디브이몰컴,/zf_user/jobs/relay/view?view_type=search&rec_idx=40422629&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,서울 송파구,~ 08/07(토),경력1년↑ 고졸↑,"2,200~2,400"
16,케어링코리아(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40381139&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 08/01(일),경력 7~10년 대졸↑,
17,NINEMOONCOMPANY,/zf_user/jobs/relay/view?view_type=search&rec_idx=40480376&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,제주 제주시,~ 08/14(토),경력무관 학력무관,"2,400~2,600"
18,(주)티엠에스헬스케어,/zf_user/jobs/relay/view?view_type=search&rec_idx=40272568&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,충북 청주시 청원구,상시채용,경력1년↑ 석사↑,
19,(주)트랜스코스모스코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40350142&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,서울 용산구,~ 06/22(화),경력무관 학력무관,184 만원
20,피플워크(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40460931&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/13(화),경력 4~8년 대졸↑,
21,피플워크(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40461857&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,내일마감,경력 6~12년 대졸↑,
22,(주)신성이엔지,/zf_user/jobs/relay/view?view_type=search&rec_idx=40316434&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 성남시 분당구,채용시,신입·경력 대졸↑,
23,딥헬릭스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40426783&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,~ 07/31(토),경력1년↑ 대졸↑,"3,400~3,600"
24,(주)라온서치,/zf_user/jobs/relay/view?view_type=search&rec_idx=40469376&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,내일마감,경력3년↑ 대졸↑,
25,(주)라온서치,/zf_user/jobs/relay/view?view_type=search&rec_idx=40509888&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,~ 06/25(금),경력3년↑ 대졸↑,
26,메이븐클라우드서비스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40360629&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/03(토),경력무관 초대졸↑,"3,400~3,600"
27,에이치알포유(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40512579&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 금천구,~ 06/25(금),경력3년↑ 석사↑,
28,(주)하나금융티아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=40498639&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 06/27(일),경력3년↑ 석사↑,
29,쿠팡 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=40193549&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 송파구,~ 07/06(화),경력 3~5년 대졸↑,
30,농협은행(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40346145&location=ts&searchword=R&searchType=search&paid_fl=n,기간제·계약직,서울 서대문구,~ 06/22(화),경력3년↑ 학력무관,
31,(주)맨파워코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40411307&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 중구,~ 07/07(수),경력8년↑ 대졸↑,
32,현대자동차(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40475611&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,상시채용,경력 4~20년 대졸↑,
33,사노피아벤티스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40485652&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/15(일),경력 학력무관,
34,(주)에프앤가이드,/zf_user/jobs/relay/view?view_type=search&rec_idx=40507715&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강서구,~ 06/30(수),경력 3~10년 대졸↑,
35,(주)코리아폴리스쿨,/zf_user/jobs/relay/view?view_type=search&rec_idx=40141403&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,서울 송파구,~ 06/30(수),경력무관 학력무관,
36,(주)파인스태프,/zf_user/jobs/relay/view?view_type=search&rec_idx=40321551&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,서울 강서구,~ 06/24(목),경력무관 학력무관,233 만원
37,(주)파인스태프,/zf_user/jobs/relay/view?view_type=search&rec_idx=40340537&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,서울 강서구,~ 06/26(토),경력무관 학력무관,233 만원
38,(주)스냅스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40152914&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 영등포구,~ 07/02(금),경력1년↑ 초대졸↑,
39,(주)엔텔스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40128238&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/27(일),경력무관 학력무관,
